t,x,series_name,noise_level
0,0.00275368161175,logistic_noise_small,small
1,0.0146754318463,logistic_noise_small,small
2,0.0603992685545,logistic_noise_small,small
3,0.216502864739,logistic_noise_small,small
4,0.671596145231,logistic_noise_small,small
5,0.87346012273,logistic_noise_small,small
6,0.445490713993,logistic_noise_small,small
7,0.9864422539,logistic_noise_small,small
8,0.0584522158029,logistic_noise_small,small
9,0.195388135994,logistic_noise_small,small
10,0.635305944366,logistic_noise_small,small
11,0.924398792233,logistic_noise_small,small
12,0.273143133333,logistic_noise_small,small
13,0.801646339673,logistic_noise_small,small
14,0.637056965433,logistic_noise_small,small
15,0.916070927201,logistic_noise_small,small
16,0.302766440448,logistic_noise_small,small
17,0.846717800105,logistic_noise_small,small
18,0.528718977309,logistic_noise_small,small
19,0.999323363784,logistic_noise_small,small
20,0.00811260120702,logistic_noise_small,small
21,0.0475452079712,logistic_noise_small,small
22,0.184111201151,logistic_noise_small,small
23,0.598955790987,logistic_noise_small,small
24,0.959059971904,logistic_noise_small,small
25,0.16339689445,logistic_noise_small,small
26,0.543487404144,logistic_noise_small,small
27,0.99361714082,logistic_noise_small,small
28,0.0276829787464,logistic_noise_small,small
29,0.122835849908,logistic_noise_small,small
30,0.429430363701,logistic_noise_small,small
31,0.980624670952,logistic_noise_small,small
32,0.0711429435329,logistic_noise_small,small
33,0.263296951456,logistic_noise_small,small
34,0.772563996256,logistic_noise_small,small
35,0.706481395149,logistic_noise_small,small
36,0.822528330407,logistic_noise_small,small
37,0.573783883264,logistic_noise_small,small
38,0.976504401668,logistic_noise_small,small
39,0.100603209623,logistic_noise_small,small
40,0.348203974531,logistic_noise_small,small
41,0.899156451235,logistic_noise_small,small
42,0.359221167837,logistic_noise_small,small
43,0.917530307068,logistic_noise_small,small
44,0.287072552609,logistic_noise_small,small
45,0.821527281589,logistic_noise_small,small
46,0.604198624694,logistic_noise_small,small
47,0.960493545303,logistic_noise_small,small
48,0.137333656714,logistic_noise_small,small
49,0.474325176719,logistic_noise_small,small
50,0.995015504977,logistic_noise_small,small
51,0.00938361159741,logistic_noise_small,small
52,0.038324886985,logistic_noise_small,small
53,0.124638190067,logistic_noise_small,small
54,0.444676513582,logistic_noise_small,small
